Style   ,Description    ,Clr,Color     ,Gender,Item Group  ,1/at once,   WIP ETA,   TOT ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,    S ,    M ,    L ,   XL 
        ,               ,   ,          ,      ,            ,2/on WIP ,          ,       ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
52463,CHARLOT        ,1,BLACK     ,WOMENS,WOMENS OUTDO,1,          ,175,0,0,0,0,0,22,27,44,42,23,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52464,ALEX           ,9,BLK MULTI ,WOMENS,WOMENS OUTDO,1,          ,47,0,0,0,0,0,11,22,0,2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52465,ALEX           ,542,PURPLE    ,WOMENS,WOMENS OUTDO,1,          ,522,0,0,0,0,0,32,117,150,101,100,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52466,ALEX           ,600,RED       ,WOMENS,WOMENS OUTDO,1,          ,192,0,0,0,0,0,16,53,13,47,37,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52467,ALEX           ,441,AQUA      ,WOMENS,WOMENS OUTDO,1,          ,121,0,0,0,0,0,31,27,21,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52468,RIDER EMBOSS   ,1,BLACK     ,WOMENS,WOMENS OUTDO,1,          ,132,0,0,0,0,0,29,2,0,6,63,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52472,CLSC HI TUSCANY,963,BLK & BRN ,WOMENS,WOMENS CLASS,1,          ,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52475,CLSC HI TUSCANY,966,BLACK/BLUE,WOMENS,WOMENS CLASS,1,          ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52478,CLSC MIDTUSCANY,600,RED       ,WOMENS,WOMENS CLASS,1,          ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52480,CLSC HI LANAI  ,400,BLUE      ,WOMENS,WOMENS CLASS,1,          ,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52483,CLSC MID LANAI ,400,BLUE      ,WOMENS,WOMENS CLASS,1,          ,7,0,0,0,0,0,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
